"Timestamp","Message"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/bras├úo-2.png'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/Bras├úo-PMS.png'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/favicon.png'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/logo-pms-header.png'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/logo-pms-horizontal-colorido.png'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/logo-pms-horizontal-colorido.svg'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/metareciclagem.ico'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/metareciclagem.jpg'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/metareciclagem.png'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'images/metareciclagem.svg'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'interessados/formStyles.css'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'js/cpf-formatter.js'"
"2026-07-08 12:59:34","web_eventosmeta  | Deleting 'js/script.js'"
"2026-07-08 12:59:34","web_eventosmeta  | "
"2026-07-08 12:59:34","web_eventosmeta  | 149 static files copied to '/app/staticfiles_collected'."
"2026-07-08 12:59:34","web_eventosmeta  | Iniciando Gunicorn..."
"2026-07-08 12:59:34","web_eventosmeta  | Performing system checks..."
"2026-07-08 12:59:34","web_eventosmeta  | "
"2026-07-08 12:59:34","web_eventosmeta  | System check identified no issues (0 silenced)."
"2026-07-08 12:59:34","web_eventosmeta  | July 08, 2026 - 11:44:09"
"2026-07-08 12:59:34","web_eventosmeta  | Django version 5.2.4, using settings 'config.settings'"
"2026-07-08 12:59:34","web_eventosmeta  | Starting development server at http://0.0.0.0:8000/"
"2026-07-08 12:59:34","web_eventosmeta  | Quit the server with CONTROL-C."
"2026-07-08 12:59:34","web_eventosmeta  | "
"2026-07-08 12:59:34","web_eventosmeta  | WARNING: This is a development server. Do not use it in a production setting. Use a production WSGI or ASGI server instead."
"2026-07-08 12:59:34","web_eventosmeta  | For more information on production servers see: https://docs.djangoproject.com/en/5.2/howto/deployment/"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:44:12] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:44:28] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:44:43] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:44:48] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:44:58] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:14] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:24] ""GET /eventosmeta/staff/login/ HTTP/1.1"" 302 0"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:24] ""GET /eventosmeta/admin/ HTTP/1.1"" 500 145"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:27] ""GET /eventosmeta/admin/ HTTP/1.1"" 500 145"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:29] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:35] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:39] ""GET /eventosmeta/inscricao/login/ HTTP/1.1"" 200 10848"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:42] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:44] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:44] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:45] ""GET /eventosmeta/staff/login/ HTTP/1.1"" 302 0"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:45:45] ""GET /eventosmeta/admin/ HTTP/1.1"" 500 145"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:00] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:15] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:30] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:42] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:46] ""GET /eventosmeta/inscricao/login/ HTTP/1.1"" 200 10848"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:46] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:51] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:52] ""GET /eventosmeta/staff/login/ HTTP/1.1"" 302 0"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:46:52] ""GET /eventosmeta/admin/ HTTP/1.1"" 500 145"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:47:01] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:47:16] ""GET / HTTP/1.1"" 200 32264"
"2026-07-08 12:59:34","web_eventosmeta  | [08/Jul/2026 11:47:32] ""GET / HTTP/1.1"" 200 32264"
